nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
ROQUEFORT-SUR-SOULZON,12203,Entre 500 et 999 habitants,Roquefort-sur-Soulzon,Roquefort-sur-Soulzon (12),,,283,1.75,20442,6,47
ROQUE-SAINTE-MARGUERITE (LA),12204,Moins de 500 habitants,La Roque-Sainte-Marguerite,La Roque-Sainte-Marguerite (12),,,86,1.85,17753,2,112
ROUSSENNAC,12206,Entre 500 et 999 habitants,Roussennac,Roussennac (12),,,229,1.89,20074,6,55
RULHAC-SAINT-CIRQ,12207,Moins de 500 habitants,Rullac-Saint-Cirq,Rullac-Saint-Cirq (12),,,172,1.81,15803,1,53
SAINT-AFFRIQUE,12208,Entre 3 500 et 9 999 habitants,Saint-Affrique,Saint-Affrique (12),,,3889,1.64,19114,5,339
SAINT-AMANS-DES-COTS,12209,Entre 500 et 999 habitants,Saint-Amans-des-Cots,Saint-Amans-des-Cots (12),,,336,1.67,17555,2,267
SAINT-ANDRE-DE-NAJAC,12210,Moins de 500 habitants,Saint-André-de-Najac,Saint-André-de-Najac (12),,,192,1.69,16134,1,117
SAINT-ANDRE-DE-VEZINES,12211,Moins de 500 habitants,Saint-André-de-Vézines,Saint-André-de-Vézines (12),,,60,1.61,19467,5,66
SAINT-BEAULIZE,12212,Moins de 500 habitants,Saint-Beaulize,Saint-Beaulize (12),,,55,1.59,15690,1,65
SAINT-BEAUZELY,12213,Entre 500 et 999 habitants,Saint-Beauzély,Saint-Beauzély (12),,,233,1.84,18014,3,94
SAINT-CHELY-D'AUBRAC,12214,Entre 500 et 999 habitants,Saint-Chély-d'Aubrac,Saint-Chély-d'Aubrac (12),,,236,1.68,16383,1,205
SAINT-CHRISTOPHE-VALLON,12215,Entre 1 000 et  3 499 habitants,Saint-Christophe-Vallon,Saint-Christophe-Vallon (12),,,503,1.79,20452,6,38
SAINT-COME-D'OLT,12216,Entre 1 000 et  3 499 habitants,Saint-Côme-d'Olt,Saint-Côme-d'Olt (12),,,565,1.72,20410,6,147
SAINTE-CROIX,12217,Entre 500 et 999 habitants,Sainte-Croix,Sainte-Croix (12),,,296,1.84,19151,5,80
SAINT-CYPRIEN-SUR-DOURDOU,12218,Entre 500 et 999 habitants,,,,,400,1.74,19590,5,92
SAINTE-EULALIE-D'OLT,12219,Moins de 500 habitants,Sainte-Eulalie-d'Olt,Sainte-Eulalie-d'Olt (12),,,191,1.59,16963,1,126
SAINTE-EULALIE-DE-CERNON,12220,Moins de 500 habitants,Sainte-Eulalie-de-Cernon,Sainte-Eulalie-de-Cernon (12),,,126,1.73,19463,5,103
SAINT-FELIX-DE-LUNEL,12221,Moins de 500 habitants,Saint-Félix-de-Lunel,Saint-Félix-de-Lunel (12),,,185,1.75,17393,2,32
SAINT-FELIX-DE-SORGUES,12222,Moins de 500 habitants,Saint-Félix-de-Sorgues,Saint-Félix-de-Sorgues (12),,,100,1.66,17145,2,86
SAINTE-GENEVIEVE-SUR-ARGENCE,12223,Entre 1 000 et  3 499 habitants,Argences en Aubrac,Argences en Aubrac (12),,,457,1.59,17808,2,243
SAINT-GENIEZ-D'OLT,12224,Entre 1 000 et  3 499 habitants,Saint Geniez d'Olt et d'Aubrac,Saint Geniez d'Olt et d'Aubrac (12),,,888,1.62,18202,3,302
SAINT-GEORGES-DE-LUZENCON,12225,Entre 1 000 et  3 499 habitants,Saint-Georges-de-Luzençon,Saint-Georges-de-Luzençon (12),,,626,1.92,19876,6,115
SAINT-HIPPOLYTE,12226,Moins de 500 habitants,Saint-Hippolyte,Saint-Hippolyte (12),,,224,1.64,16438,1,149
SAINT-IGEST,12227,Moins de 500 habitants,Saint-Igest,Saint-Igest (12),,,80,1.94,17088,1,27
SAINT-IZAIRE,12228,Moins de 500 habitants,Saint-Izaire,Saint-Izaire (12),,,139,1.74,15057,1,140
SAINT-JEAN-D'ALCAPIES,12229,Moins de 500 habitants,Saint-Jean-d'Alcapiès,Saint-Jean-d'Alcapiès (12),,,99,2.11,20591,7,17
SAINT-JEAN-DELNOUS,12230,Moins de 500 habitants,Saint-Jean-Delnous,Saint-Jean-Delnous (12),,,136,2.03,18286,3,19
SAINT-JEAN-DU-BRUEL,12231,Entre 500 et 999 habitants,Saint-Jean-du-Bruel,Saint-Jean-du-Bruel (12),,,323,1.62,18380,3,434
SAINT-JEAN-ET-SAINT-PAUL,12232,Moins de 500 habitants,Saint-Jean-et-Saint-Paul,Saint-Jean-et-Saint-Paul (12),,,108,1.94,18441,3,137
SAINTE-JULIETTE-SUR-VIAUR,12234,Entre 500 et 999 habitants,Sainte-Juliette-sur-Viaur,Sainte-Juliette-sur-Viaur (12),,,231,1.99,20544,6,41
SAINT-JUST-SUR-VIAUR,12235,Moins de 500 habitants,Saint-Just-sur-Viaur,Saint-Just-sur-Viaur (12),,,100,1.89,16394,1,69
SAINT-LAURENT-D'OLT,12237,Entre 500 et 999 habitants,Saint-Laurent-d'Olt,Saint-Laurent-d'Olt (12),,,265,1.75,17188,2,191
SAINT-LEONS,12238,Moins de 500 habitants,Saint-Léons,Saint-Léons (12),,,151,1.80,19296,5,83
SAINT-MARTIN-DE-LENNE,12239,Moins de 500 habitants,Saint-Martin-de-Lenne,Saint-Martin-de-Lenne (12),,,136,1.80,19315,5,48
SAINT-PARTHEM,12240,Moins de 500 habitants,Saint-Parthem,Saint-Parthem (12),,,190,1.75,18597,4,65
SAINTE-RADEGONDE,12241,Entre 1 000 et  3 499 habitants,Sainte-Radegonde,Sainte-Radegonde (12),,,668,2.00,23987,9,12
SAINT-REMY,12242,Moins de 500 habitants,Saint-Rémy,Saint-Rémy (12),,,148,1.83,19127,5,13
SAINT-ROME-DE-TARN,12244,Entre 500 et 999 habitants,Saint-Rome-de-Tarn,Saint-Rome-de-Tarn (12),,,388,1.68,19183,5,184
SAINT-SALVADOU,12245,Moins de 500 habitants,,,,,182,1.69,16608,1,33
SAINT-SANTIN,12246,Entre 500 et 999 habitants,Saint-Santin,Saint-Santin (12),,,242,1.87,17592,2,58
SAINT-SATURNIN-DE-LENNE,12247,Moins de 500 habitants,Saint-Saturnin-de-Lenne,Saint-Saturnin-de-Lenne (12),,,148,1.75,18272,3,63
SAINT-SEVER-DU-MOUSTIER,12249,Moins de 500 habitants,Saint-Sever-du-Moustier,Saint-Sever-du-Moustier (12),,,98,1.76,14809,1,65
SAINT-SYMPHORIEN-DE-THENIERES,12250,Moins de 500 habitants,Saint-Symphorien-de-Thénières,Saint-Symphorien-de-Thénières (12),,,110,1.82,17093,2,92
SAINT-VICTOR-ET-MELVIEU,12251,Moins de 500 habitants,Saint-Victor-et-Melvieu,Saint-Victor-et-Melvieu (12),,,175,1.70,17739,2,75
SALLES-CURAN,12253,Entre 1 000 et  3 499 habitants,Salles-Curan,Salles-Curan (12),,,474,1.77,17673,2,478
SALLES-LA-SOURCE,12254,Entre 1 000 et  3 499 habitants,Salles-la-Source,Salles-la-Source (12),,,843,1.93,22424,8,246
