annee,personnel_6,impots_6,intervention_hors_suventions_6,frais_financiers_6,produits_fonctionnement_exceptionnels_7,tfnb_produit_commune,fiscalite_reversee_7,fonds_compensation_charges_territoriales_6,depenses_equipement_2,frais_elus_6,autres_recettes_equipement_2,autres_6,dotations_etat_7,subventions_equipement_versees_2,ventes_biens_services_7,subventions_equipement_recues_1,autres_impots_taxes_7,depenses_operations_tiers_4,achats_charges_externes_6,tfb_produit_syndicat,th_produit_epci,impots_locaux_7,population,tfnb_produit_syndicat,fctva_1,exceptionnel_6,suventions_participations_7,tfnb_produit_epci,autres_produits_fonctionnement_7,recettes_operations_tiers_4,tfb_produit_epci,endettement_16,autres_dotations_subventions_equipement_1,tfb_produit_commune,th_produit_syndicat,autres_depenses_equipement_1,autres_depenses_equipement_2,subventions_versees_6,th_produit_commune,produits_cessions_7,ville_id
2012,-3601727776,-69173877,-512680255,-331791401,173822339,228552140,887157308,0,-3901898972,-336267645,73690426,-28798915,2817951019,-99102647,684777285,883415019,564300182,-23676767,-2543978158,14929184,1006046860,4329165642,12259034,1529175,481047203,-63021703,346266732,29235108,510993463,24263385,176518979,8624392131,183134894,1835492770,14906613,-16050454,-40763709,-492000165,1848002547,271367647,36632
2013,-3735378860,-69983680,-503926692,-336288138,118952481,232639005,964016555,0,-4135617686,-353360134,64929887,-28735023,2771643006,-107905120,716188652,874868225,539791316,-27527558,-2678189393,15904722,1077345966,4447346065,12259034,1633915,495928266,-69667038,344287237,30374091,512187174,25610596,192148947,8751280346,148238330,1909673606,16233967,-24527505,-54879468,-504485503,1905732005,266559207,36632
2014,-3902741379,-72623106,-501485444,-334182968,110354909,236404468,1072892064,0,-3593580782,-367341707,65108778,-28627623,2695073459,-97752978,732567213,817913409,508979847,-24586761,-2639094436,16295566,1128862781,4457468763,12382011,1694730,529345915,-78944323,381248766,31676410,502934175,21804431,208735227,8637112653,175921728,1967572742,16639249,-23111718,-44483053,-509355938,1913205662,226411776,36632
2015,-3998599421,-73365987,-509640182,-325130272,109972775,240174885,1104451419,0,-3095358457,-372154145,69949927,-29236895,2505396853,-106179036,765989113,791761670,498947904,-27109545,-2638422495,16753979,1193051508,4609835369,12414220,1706214,522365561,-107643870,448784448,32416868,506474272,28019328,236489822,8536133779,222566454,2036519878,17551966,-20509890,-40648018,-496799003,2008873700,263240698,36632
2016,-4019923453,-73714950,-401007298,-296918059,110711876,238141788,1115166983,-96265933,-3175155825,-372780311,80803566,-29969185,2292251086,-100654779,786661942,757908367,521762410,-30021869,-2610732283,16807969,1181140707,4649126040,12197899,1730770,457424779,-64709405,470628366,32675822,523217773,31354829,260097017,8388935435,182962878,2077907200,17348412,-21939423,-39986246,-474891942,1981314539,258428485,36632
2017,-4189907752,-78749742,-394278432,-274274912,137158341,247936929,1372469895,-79304627,-3521405685,-386497844,68066786,-28131685,2296235332,-105206766,832709231,783782965,538593506,-30239770,-2703078888,16202697,1287600768,4596116194,12184060,1662885,440643167,-77590071,463053966,35625012,533091501,29258897,289693719,8555886213,204390562,2173885442,16609020,-22860606,-80067871,-476062078,1970588180,296285709,36632
2012,-4560366402,-43316832,-243146277,-258368757,78798124,37204104,1537272182,0,-2276274130,-92446517,60041243,-38390439,2080631321,-88726166,585770185,434565783,743820659,-16450776,-2047087067,17874024,770995591,3775710782,7239800,196522,282900496,-76286329,407661949,2728926,193271291,18240277,86967356,6910686496,93997345,1964229162,15282828,-9974706,-27431569,-704616164,1568229822,241386781,36633
2013,-4666051841,-43141604,-242872785,-251533832,70617466,37460143,1573625231,0,-2574082105,-95894294,42823689,-39441993,2058601406,-100497134,603123384,484321755,732931834,-20246559,-2105237048,18480567,808138280,3876175059,7239800,198046,294209922,-77712723,403158956,2873362,192973434,20022855,95326890,6985907224,78833949,2026051803,15653685,-5642633,-35895765,-721795655,1614930813,251072693,36633
2014,-4755293341,-41898349,-233564711,-248837134,81903793,37549045,1605910857,0,-2049346212,-94317901,51726764,-39999121,1935941332,-72763312,602680085,439994616,696070478,-19803901,-2039105433,19268674,812807091,3830685622,7149326,208426,322631941,-72928641,440415740,2970562,181379546,21299742,105482690,6829732683,72122295,2034513996,15807977,-8736608,-34906264,-705642400,1594571484,165988098,36633
2015,-4817202493,-41442321,-236191144,-241811803,72873067,40046892,1656862249,0,-1717488954,-95651615,48535732,-37467877,1786465417,-76951274,631951255,412272369,740267285,-27452568,-1990445201,18788859,860239524,3964373166,7193360,236012,304550223,-67685060,487281817,3231906,179968216,25096175,147497615,6832718886,114246358,2101088111,16095504,-10937734,-33032778,-695642096,1672145992,162158712,36633
2016,-4750339874,-42763931,-205921017,-226585052,92483248,38303923,1756962711,-90403081,-1679203393,-95702195,38896629,-36261450,1572629173,-78798456,637025059,381438612,748104444,-31028712,-1920631054,19493512,837421650,3925800409,7126504,213862,265614653,-66258999,485242714,3062656,206632917,31649610,156879827,6708021667,83576961,2147848521,16288138,-8298848,-37138800,-675844224,1678735360,255961390,36633
2017,-4820540030,-43284642,-190302329,-196668744,80762822,38809697,1757801940,-92594742,-1921841900,-97024604,50386622,-37123534,1518492962,-92049487,653148495,368402386,771914945,-20634222,-1910846401,19136041,858521355,3926858847,7121995,212874,231509690,-68061880,471101421,3168221,197898989,22649966,166126244,6517849198,86296378,2191337640,16096026,-10289935,-31764492,-661701442,1686028057,261611880,36633
2012,-2662114306,-34533727,-127596283,-155369072,37985686,6102067,880728249,0,-1168772771,-31332964,59837201,-20800102,1301651896,-125961454,363966787,223547781,419116308,-20954223,-1070871048,5161663,508195837,2192667284,4067485,6966,127131120,-87513826,221181944,726954,134082888,18865104,71547860,4380906945,47956706,1211812639,5015138,-2217804,-73193011,-643328417,970957018,136594446,36634
2013,-2736652766,-35280067,-131672920,-151669987,54792006,6070955,880567375,0,-1288339311,-36359334,106305916,-19295115,1296774316,-180794421,378418942,258861233,413287097,-20625162,-1098606811,5349185,525160240,2269790946,4067485,7537,166808875,-107077766,226900282,728660,142999166,17281869,76062658,4499310164,31467534,1246450160,5245217,-4934749,-55747655,-651689152,1001123681,100997674,36634
2014,-2856113546,-36185431,-131917464,-160038903,35999066,5978582,869973563,0,-1145224845,-36269909,43924930,-19254279,1256022982,-137516297,378211751,266320193,417878259,-12457242,-1075544493,5456503,529349269,2309570928,4075359,7528,170123431,-92252160,240310606,718678,135309364,10956124,77480415,4653525852,55980088,1272803538,5271745,-5877332,-73499870,-655010089,1014862048,122346474,36634
2015,-2867014977,-32403239,-132716007,-152775854,28601777,6232023,804433452,0,-1021076482,-37122705,74150001,-19894158,1165310180,-114071525,391902465,215358297,433083390,-15659479,-1009860028,5585134,551424198,2375640819,4087033,8352,140715155,-94667933,269715352,711283,125604267,17660357,102624725,4756960760,75825655,1301270612,5515996,-6489759,-52918383,-634726515,1055761036,105459270,36634
2016,-2842718792,-34520276,-122218658,-137969241,38566310,6091286,833715829,-121448402,-923612502,-37409888,57636300,-25150320,1064745296,-103189708,427801784,229564498,446729252,-31623345,-979249389,5702027,494629415,2475095280,4087033,9472,148179056,-72128686,268305233,656079,143774371,30471146,103961248,4778685607,15787033,1337285784,5466931,-11926304,-48827735,-634860172,1116180235,77734509,36634
2017,-2835481080,-36191987,-125792264,-127979253,45486471,6152858,780684732,-120646394,-903314362,-37503944,50714655,-18498721,1056978520,-94265102,427789027,184794841,432554592,-49340499,-955513619,5830928,502945465,2456088792,4087033,9025,119328089,-69359377,263212545,745738,134819316,49217772,109449258,4828867953,11622599,1352353450,5595778,-13284459,-59124271,-620919378,1125793142,93794995,36634
