annee,nom,population,recette_dotation_fonctionnement,charge_contingents,endettement_annuite,endettement_encours,depense_equipement,recette_fctva,charge_charges_financieres,recette_taxe_habitation,recette_total_investissement,recette_taxe_fonciere_non_bati,souscription_emprunts,charge_total_fonctionnement,recette_total_fonctionnement,recette_autres_impots_taxes,charge_subventions,recette_taxe_fonciere_bati,charge_achats,recette_subventions,recette_taxe_surfaces_commerciales,charge_personnel,nb_res_secondaires,ville_id
2008,MARSEILLE,807071,243799000.0,6764000.0,215664000.0,1849192000.0,193318000.0,25328000.0,84781000.0,178374000.0,496784000.0,601000.0,134541000.0,991879000.0,980715000.0,50634000.0,75078000.0,151151000.0,171476000.0,12598000.0,0.0,520952000.0,6719.0,1.0
2008,MARTIGUES,44256,5092000.0,5362000.0,10987000.0,59776000.0,26206000.0,3028000.0,2651000.0,8146000.0,36279000.0,103000.0,1500000.0,112772000.0,127731000.0,2281000.0,10668000.0,9348000.0,26513000.0,1672000.0,0.0,60561000.0,1382.0,2.0
2008,MONCEAUX-EN-BESSIN,390,49000.0,10000.0,14000.0,135000.0,280000.0,0.0,2000.0,20000.0,144000.0,9000.0,100000.0,101000.0,167000.0,26000.0,2000.0,21000.0,24000.0,17000.0,0.0,48000.0,6.0,3.0
2008,HENIN-BEAUMONT,25610,7860000.0,13000.0,3458000.0,40798000.0,6588000.0,673000.0,1836000.0,4308000.0,15264000.0,114000.0,1000000.0,47426000.0,34541000.0,1100000.0,2944000.0,9050000.0,9076000.0,437000.0,0.0,20689000.0,141.0,4.0
2008,JOIGNY,10737,2453000.0,558000.0,1628000.0,9775000.0,2054000.0,319000.0,460000.0,1307000.0,3273000.0,41000.0,300000.0,10776000.0,11865000.0,513000.0,1010000.0,1997000.0,2476000.0,380000.0,0.0,4901000.0,173.0,5.0
2008,MEGEVE,4705,4738000.0,2188000.0,4483000.0,31321000.0,6263000.0,0.0,1447000.0,5252000.0,4054000.0,122000.0,0.0,21413000.0,26827000.0,4882000.0,3768000.0,4004000.0,5538000.0,217000.0,0.0,6340000.0,7008.0,6.0
2008,LEVALLOIS-PERRET,54994,44625000.0,4078000.0,32789000.0,496578000.0,90912000.0,9918000.0,13266000.0,16062000.0,275935000.0,40000.0,230000000.0,156507000.0,166979000.0,13430000.0,19144000.0,24348000.0,41147000.0,1409000.0,0.0,63514000.0,1138.0,7.0
2008,RUEIL-MALMAISON,74671,40375000.0,4462000.0,16878000.0,164489000.0,50912000.0,2959000.0,5714000.0,19948000.0,66196000.0,62000.0,19646000.0,138650000.0,152551000.0,14516000.0,7382000.0,18722000.0,35251000.0,16635000.0,0.0,74097000.0,650.0,8.0
2008,BORDEAUX,218948,61050000.0,2239000.0,33717000.0,188016000.0,66630000.0,9320000.0,8603000.0,72909000.0,88190000.0,361000.0,23000000.0,302624000.0,333949000.0,28144000.0,56365000.0,88004000.0,61380000.0,8859000.0,0.0,157366000.0,3314.0,9.0
2008,ENSUES-LA-REDONNE,4581,817000.0,27000.0,401000.0,2350000.0,2123000.0,217000.0,95000.0,1331000.0,2795000.0,17000.0,775000.0,4678000.0,5154000.0,344000.0,101000.0,1499000.0,1484000.0,900000.0,0.0,2716000.0,458.0,10.0
2008,LYON,453187,108343000.0,5072000.0,54786000.0,430116000.0,103589000.0,15743000.0,18881000.0,130560000.0,288499000.0,359000.0,50000000.0,547536000.0,574982000.0,51219000.0,69339000.0,112523000.0,98114000.0,10796000.0,0.0,306073000.0,7971.0,11.0
2008,STRASBOURG,267051,61806000.0,7986000.0,15045000.0,112408000.0,79782000.0,8249000.0,5241000.0,58112000.0,80979000.0,312000.0,0.0,314433000.0,342740000.0,14572000.0,39754000.0,66153000.0,52401000.0,8870000.0,0.0,179522000.0,2643.0,12.0
2009,MARSEILLE,847084,249829000.0,6912000.0,218760000.0,1834880000.0,211050000.0,50899000.0,68710000.0,194219000.0,439550000.0,621000.0,137100000.0,958814000.0,989622000.0,42024000.0,77468000.0,165327000.0,166433000.0,7504000.0,0.0,529884000.0,6719.0,1.0
2009,MARTIGUES,47056,5506000.0,5542000.0,9285000.0,63907000.0,31565000.0,5788000.0,1985000.0,8422000.0,53395000.0,102000.0,11500000.0,120823000.0,135136000.0,1980000.0,11169000.0,9797000.0,27298000.0,4292000.0,0.0,62938000.0,1382.0,2.0
2009,MONCEAUX-EN-BESSIN,352,42000.0,9000.0,26000.0,112000.0,187000.0,9000.0,3000.0,44000.0,306000.0,14000.0,0.0,117000.0,140000.0,0.0,5000.0,46000.0,41000.0,68000.0,0.0,46000.0,6.0,3.0
2009,HENIN-BEAUMONT,26352,8136000.0,1000.0,4474000.0,40156000.0,1456000.0,559000.0,2064000.0,4823000.0,23345000.0,127000.0,0.0,31888000.0,37783000.0,994000.0,3022000.0,10343000.0,4801000.0,1019000.0,0.0,19320000.0,141.0,4.0
2009,JOIGNY,10790,2460000.0,573000.0,1577000.0,8780000.0,2076000.0,649000.0,385000.0,1330000.0,3559000.0,43000.0,200000.0,11357000.0,12013000.0,439000.0,1052000.0,2084000.0,2488000.0,379000.0,0.0,5226000.0,173.0,5.0
2009,MEGEVE,4139,4644000.0,2015000.0,4506000.0,27890000.0,6522000.0,1535000.0,1075000.0,5558000.0,11055000.0,122000.0,0.0,21919000.0,27839000.0,4806000.0,4047000.0,4227000.0,6047000.0,134000.0,0.0,6684000.0,7008.0,6.0
2009,LEVALLOIS-PERRET,63272,46000000.0,4203000.0,75627000.0,785309000.0,79496000.0,28468000.0,54359000.0,16359000.0,423044000.0,34000.0,310000000.0,200010000.0,222114000.0,17199000.0,19217000.0,29169000.0,41954000.0,1579000.0,0.0,65749000.0,1138.0,7.0
2009,RUEIL-MALMAISON,78964,14219000.0,3954000.0,15915000.0,161069000.0,37051000.0,7776000.0,5741000.0,21031000.0,56191000.0,67000.0,7000000.0,145569000.0,154824000.0,11401000.0,7873000.0,20213000.0,34871000.0,2725000.0,0.0,76193000.0,650.0,8.0
2009,BORDEAUX,235878,63219000.0,2436000.0,32476000.0,189850000.0,78935000.0,15354000.0,7385000.0,76814000.0,105717000.0,364000.0,25000000.0,313050000.0,345531000.0,26159000.0,57565000.0,93198000.0,66991000.0,8721000.0,0.0,163014000.0,3314.0,9.0
2009,ENSUES-LA-REDONNE,5163,924000.0,111000.0,383000.0,2072000.0,2301000.0,424000.0,104000.0,1392000.0,2112000.0,17000.0,0.0,4917000.0,5843000.0,490000.0,82000.0,1579000.0,1577000.0,1176000.0,0.0,2818000.0,458.0,10.0
2009,LYON,480778,116744000.0,5198000.0,58142000.0,434832000.0,86758000.0,10433000.0,15433000.0,143449000.0,186952000.0,360000.0,50000000.0,520943000.0,585789000.0,43705000.0,72816000.0,124769000.0,97867000.0,9534000.0,0.0,289785000.0,7971.0,11.0
2009,STRASBOURG,276867,63411000.0,8312000.0,14130000.0,122181000.0,70661000.0,9793000.0,4345000.0,58503000.0,84964000.0,362000.0,20000000.0,322669000.0,348608000.0,14262000.0,39608000.0,68965000.0,55180000.0,6850000.0,0.0,186530000.0,2643.0,12.0
2010,MARSEILLE,860363,256065000.0,8233000.0,218813000.0,1822155000.0,215636000.0,25162000.0,56653000.0,206371000.0,421714000.0,611000.0,150000000.0,1002896000.0,1081134000.0,47560000.0,79825000.0,174398000.0,164791000.0,14730000.0,0.0,531850000.0,6719.0,1.0
2010,MARTIGUES,46911,5553000.0,5478000.0,8279000.0,61911000.0,26365000.0,3593000.0,1749000.0,8677000.0,41083000.0,105000.0,4660000.0,117686000.0,137002000.0,2585000.0,12039000.0,10048000.0,26641000.0,1746000.0,0.0,64570000.0,1382.0,2.0
2010,MONCEAUX-EN-BESSIN,406,46000.0,13000.0,26000.0,90000.0,180000.0,43000.0,4000.0,47000.0,108000.0,14000.0,0.0,121000.0,161000.0,12000.0,2000.0,49000.0,40000.0,50000.0,0.0,47000.0,6.0,3.0
